Year,Month,Julian Day,Hour,Incoming Shortwave Radiation,Ambient Air Temperature,Barometric Pressure
2010,1,3,2,0,-13.65,101.49
2010,1,3,3,0,-13.92,101.51
2010,1,3,4,-3.198,-14.68,101.47
2010,1,3,5,-1.279,-14.37,101.43
2010,1,3,6,0,-14.08,101.34
2010,1,3,7,0,-13.62,101.34
2010,1,3,8,6.395,-13.25,101.33
2010,1,3,9,47.32,-12.3,101.31
2010,1,3,10,83.8,-11.45,101.25
2010,1,3,11,140.7,-10.41,101.23
2010,1,3,12,0.179,-10.1,101.15
2010,1,3,13,262.1,-9.43,101.09
2010,1,3,14,227.5,-8.83,101.06
2010,1,3,15,95.2,-9.01,101.09
2010,1,3,16,42.18,-9.21,101.11
2010,1,3,17,7.67,-9.3,101.13
2010,1,3,18,0.639,-9.34,101.17
2010,1,3,19,5.114,-9.29,101.19
2010,1,3,20,1.279,-9.35,101.2
2010,1,3,21,3.835,-9.55,101.18
2010,1,3,22,5.114,-9.52,101.17
2010,1,3,23,3.835,-9.68,101.17
2010,1,3,24,0,-9.88,101.13
2010,1,4,1,0,-10.04,101.14
2010,1,4,2,0,-10.26,101.12
2010,1,4,3,0,-10.9,101.15
2010,1,4,4,0,-11.38,101.13
2010,1,4,5,0,-11.29,101.11
2010,1,4,6,0,-11.38,101.13
2010,1,4,7,-1.279,-11.42,101.16
2010,1,4,8,6.394,-11.18,101.16
2010,1,4,9,65.22,-11.11,101.17
2010,1,4,10,0.126,-11.23,101.22
2010,1,4,11,260.2,-10.93,101.23
2010,1,4,12,0.365,-10.46,101.17
2010,1,4,13,0.31,-10.46,101.11
2010,1,4,14,334.3,-9.84,101.08
2010,1,4,15,248.6,-9.65,101.1
2010,1,4,16,134.2,-9.99,101.14
2010,1,4,17,8.31,-10.9,101.14
2010,1,4,18,0,-11.01,101.15
2010,1,4,19,0,-9.56,101.16
2010,1,4,20,0,-9.05,101.17
2010,1,4,21,0,-8.72,101.13
2010,1,4,22,0,-8.75,101.15
2010,1,4,23,3.196,-8.46,101.11
2010,1,4,24,0.639,-8.47,101.05
2010,1,5,1,6.392,-8.27,101.03
2010,1,5,2,1.278,-7.94,101.04
2010,1,5,3,0,-8.47,101.08
2010,1,5,4,5.753,-9.13,101.08
2010,1,5,5,0,-9.65,101.05
2010,1,5,6,0,-9.7,101.07
2010,1,5,7,0,-9.77,101.08
2010,1,5,8,0,-9.67,101.1
2010,1,5,9,56.25,-9.55,101.12
2010,1,5,10,0.117,-9.23,101.12
2010,1,5,11,0.202,-7.86,101.11
2010,1,5,12,236.5,-7.04,101.05
2010,1,5,13,256.3,-6.601,100.99
2010,1,5,14,193.6,-6.35,100.96
2010,1,5,15,108.6,-6.356,100.97
2010,1,5,16,87.5,-6.003,100.98
2010,1,5,17,12.14,-6.219,100.99
2010,1,5,18,0,-6.474,0.101
2010,1,5,19,2.557,-6.656,101.04
2010,1,5,20,4.474,-6.282,101.03
2010,1,5,21,5.752,-6.255,101.02
2010,1,5,22,6.391,-6.138,101.03
2010,1,5,23,6.391,-5.943,101.03
2010,1,5,24,4.474,-5.865,0.101
2010,1,6,1,5.752,-5.782,0.101
2010,1,6,2,6.391,-5.776,101.01
2010,1,6,3,6.391,-5.764,101.04
2010,1,6,4,5.751,-5.924,101.06
2010,1,6,5,6.391,-6.208,101.11
2010,1,6,6,5.752,-7.05,101.16
2010,1,6,7,0,-7.53,101.2
2010,1,6,8,0.639,-7.88,101.24
2010,1,6,9,38.99,-7.79,101.28
2010,1,6,10,125.9,-7.28,101.33
2010,1,6,11,144.4,-7.12,101.36
2010,1,6,12,180.2,-6.697,101.3
2010,1,6,13,188.5,-6.518,101.26
2010,1,6,14,148.9,-6.052,101.24
2010,1,6,15,95.9,-5.768,101.24
2010,1,6,16,25.56,-5.618,101.31
2010,1,6,17,8.95,-5.466,101.33
2010,1,6,18,0,-5.375,101.37
2010,1,6,19,0,-5.327,101.41
2010,1,6,20,0,-4.939,101.42
2010,1,6,21,0,-4.446,101.4
2010,1,6,22,0,-4.257,101.41
2010,1,6,23,0,-4.189,101.43
2010,1,6,24,0,-4.742,101.44
2010,1,7,1,0,-4.578,101.41
2010,1,7,2,0,-4.686,101.42
2010,1,7,3,0,-4.417,101.43
